,company_count,Sum_ebitdaUSD,Sum_marketCapUSD,Sum_totalRevenueUSD,Sum_fullTimeEmployees,Median_grossMargins,Median_operatingMargins,Median_ebitdaMargins,Median_profitMargins,Median_earningsGrowth,Median_revenueGrowth,Median_forwardEps,Median_trailingEps,Median_forwardPE,Median_trailingPE,Median_pegRatio,Median_trailingPegRatio,Median_enterpriseToEbitda,Median_enterpriseToRevenue,Median_returnOnEquity,Median_returnOnAssets,Median_heldPercentInstitutions,Median_heldPercentInsiders,Median_debtToEquity,Median_quickRatio,Median_currentRatio,Median_dividendYield,Median_dividendRate,Median_trailingAnnualDividendRate,Median_fiveYearAvgDividendYield,Median_trailingAnnualDividendYield,Median_earningsQuarterlyGrowth,Median_priceToBook,Median_priceToSalesTrailing12Months
Median_returnOnAssets,-0.43866501573331207,0.07446633030298094,-0.10867860430759153,0.018127401032319142,-0.027327270289093875,-0.15230906119985022,0.5761667060515097,0.34374743501667016,0.42159990365293115,0.20535016482830715,0.10503299733754366,0.4795880024058159,0.49820629857812715,0.045375855245128445,-0.3672289167270717,0.04331396512702847,0.08089361608767898,0.08078512634651212,-0.300796828272465,0.8540705326985949,1.0,0.031272218519165486,0.11159790843020272,-0.07747474073198245,-0.40568764373436894,-0.23227425957591005,0.05317068554766873,0.02391473965135628,-0.005365748358892399,-0.04094968019619176,-0.038869475273725626,0.18573079700498404,0.07294703301030114,-0.3429971012544714
Median_heldPercentInstitutions,-0.013252729039255303,-0.22252969006960688,-0.1423079651439787,-0.20438381797295516,-0.15021021238228804,0.06478653351297259,-0.020149703100280157,0.03251443497517896,-0.02718296584136085,-0.023356224087212094,-0.10925100374844032,-0.13070315343669908,-0.13673775331136762,-0.07651153963008668,0.12498363951975698,-0.02344110998996258,-0.057965777466077235,0.17073059709595548,0.07151300780053298,-0.00951074019139672,0.031272218519165486,1.0,-0.7331992628316882,0.08704673749568864,-0.014184510119299205,0.00764814235450985,-0.22405888482911243,-0.21579773524962528,-0.16209956071825352,-0.19724564435857464,-0.26012788469085457,0.020672406017455583,0.05803589467279652,0.05477459308580164
Median_heldPercentInsiders,-0.11890305840664885,0.18174211721982078,-0.0879994885354189,0.12372656638128449,-0.02935947308962833,-0.20134135730850838,0.018927694973728634,-0.04994290022530763,-0.03485280166589435,0.0022837128872943246,0.15681900994061745,0.41601993071536697,0.2438786582122973,0.14894429682884397,-0.1737221131915329,0.01716675571354903,0.00850555580689836,0.04801086622389954,-0.16234897592043415,0.1368583286825201,0.11159790843020272,-0.7331992628316882,1.0,-0.11529966685512642,-0.16496194718361054,-0.14225434093194006,0.04943809433594177,0.14647443110263236,0.09526822430870457,0.04660365192243429,0.10248413681499999,-0.020428710329289626,-0.005818278170640302,-0.16037348694744596
Median_debtToEquity,-0.140400457105445,-0.10338468387164443,-0.05415153339752444,-0.0527678333091454,0.046905772411610626,0.27119964465838264,0.2227197973389197,0.14185120116894595,0.20497754410692695,0.041440186280718584,-0.058124236954304104,-0.03752209574039111,0.013308565790496819,-0.015719905787709855,-0.13899712283785046,0.03687610375660965,-0.14436593549013943,0.22753334620708124,0.13793812104766476,0.058224148609005245,-0.07747474073198245,0.08704673749568864,-0.11529966685512642,1.0,-0.02838991316490734,-0.05698693200496756,0.3267828992620213,-0.10144039050122597,-0.09866564405411267,0.3435325881050927,0.4203710711316208,0.041248852056183984,-0.13377801419244711,-0.10260774928594653
Median_quickRatio,0.317708551269953,-0.022195465988819992,0.04059873558366395,-0.0608645919203154,-0.059824314077946715,0.31765431647893483,-0.44480667997857637,-0.3866322707183683,-0.07073373961668612,-0.004707849756724479,-0.01733539295606524,-0.23538464902943235,-0.18935022992555742,-0.2655286246560606,0.322313860643453,-0.051769537676364365,-0.15615847757100448,-0.5400324253867221,0.5097942446684691,-0.3645019126707407,-0.40568764373436894,-0.014184510119299205,-0.16496194718361054,-0.02838991316490734,1.0,0.8631860566786482,0.027311946119927915,-0.04946705878858203,-0.0494650969188741,0.025481304440400646,0.012553695871188432,0.005418239995896929,-0.05662796847760177,0.5495590439063553
Median_currentRatio,0.1777305953624304,-0.021661366283868243,-0.03144401198904128,-0.06684534418028147,-0.12176646583437263,0.21348528938518155,-0.3616702852724964,-0.3706836707809619,-0.02268292985987916,0.057923825226883385,-0.06007737539005884,-0.023157742114279165,-0.007447452352651735,-0.32478371754372604,0.33455411448907435,-0.036055133299497666,-0.1738516131199967,-0.580043853157361,0.4994506943466597,-0.1997694599229529,-0.23227425957591005,0.00764814235450985,-0.14225434093194006,-0.05698693200496756,0.8631860566786482,1.0,-0.024196705294799628,-0.04689681149360984,-0.0445542741429082,-0.05514420931705818,-0.025810946820256093,0.05911783062164194,-0.10096147911996707,0.5791059361547486
Median_dividendYield,-0.0974208278259123,0.06425465015805708,0.03220715411903839,0.05853709175570322,-0.054871725248578467,0.2513999512139341,0.29018241019992735,0.4111418661903248,0.43087727433564016,0.04545918493998558,0.007116752508541438,0.0020847957634833212,-0.008047058969739547,-0.012293514250520938,-0.31559286066774256,0.04597354106540856,0.11143145574764612,0.04129755055334518,0.16816085623896335,0.11333603240398837,0.05317068554766873,-0.22405888482911243,0.04943809433594177,0.3267828992620213,0.027311946119927915,-0.024196705294799628,1.0,0.0012813319496676502,0.0006959056031754078,0.8644758408811025,0.8837945616544519,0.007463845026265207,-0.3422484506934271,-0.08979269831653505
Median_dividendRate,-0.03393115018787152,0.4619076867565613,0.20847446926331734,0.5011029668250183,0.04622826704364375,-0.05707445292165858,0.005051493121098197,-0.045726706228286174,-0.0077273895445891085,-0.0745289022399264,-0.08566498702361681,0.1415359805109626,0.1533469300198052,0.047039339544048854,-0.059882730011941235,0.034810402064017115,0.018941731979921987,-0.025454097848119823,-0.09439364721475048,0.028871183144073848,0.02391473965135628,-0.21579773524962528,0.14647443110263236,-0.10144039050122597,-0.04946705878858203,-0.04689681149360984,0.0012813319496676502,1.0,0.9715034962866638,-0.04621412076163373,0.054801547425765776,-0.07341060491226752,-0.0361411862742409,-0.07546180783176966
Median_trailingAnnualDividendRate,-0.042550787145732676,0.4775118254117574,0.21513553444387998,0.521224957920707,0.03170794511781801,-0.07418200843561544,-0.010262908192227577,-0.05102362062325155,-0.017258764239298858,-0.06369603109750578,-0.08478044918671172,0.09387468609658019,0.08049708735291822,0.03962653184059053,-0.039668280160077694,0.023974051997294438,0.00037659705686180335,-0.015472368399818347,-0.07477305697625812,0.006242303862028685,-0.005365748358892399,-0.16209956071825352,0.09526822430870457,-0.09866564405411267,-0.0494650969188741,-0.0445542741429082,0.0006959056031754078,0.9715034962866638,1.0,-0.035420506686740315,0.045988116173498746,-0.06263329390277751,-0.03729616796548594,-0.0578648618524638
Median_fiveYearAvgDividendYield,-0.09985078314412613,0.03482825574023638,0.03220395873064209,0.04471245086224003,-0.06877592276076815,0.2006181451997514,0.25239419366283783,0.3725871846367683,0.357278208107698,0.0992937654299312,0.08186704802062547,-0.0895616666738593,-0.08136205785448823,0.0049303485435573564,-0.19829442878596767,-0.05288473119405116,0.1120750649056188,0.1092118402946345,0.2262000716676275,-0.008242197032613032,-0.04094968019619176,-0.19724564435857464,0.04660365192243429,0.3435325881050927,0.025481304440400646,-0.05514420931705818,0.8644758408811025,-0.04621412076163373,-0.035420506686740315,1.0,0.8020983961230508,0.1712318876217429,-0.347240967149431,-0.030665409507012756
Median_trailingAnnualDividendYield,-0.07955304903239312,0.08585249164551616,0.015708237106070742,0.07378045610484013,-0.062261193328392306,0.2764919607834041,0.26591684202511345,0.36691503414082216,0.39944642468387054,-0.05519142953676745,-0.09045017128475832,-0.03526264426185698,0.00543986926698508,-0.007322749081057594,-0.28259223356607455,0.04735932971558713,0.08423389412858863,0.0895095850276379,0.18518028817970653,0.0570070504503518,-0.038869475273725626,-0.26012788469085457,0.10248413681499999,0.4203710711316208,0.012553695871188432,-0.025810946820256093,0.8837945616544519,0.054801547425765776,0.045988116173498746,0.8020983961230508,1.0,-0.09920957856306317,-0.4181112513762709,-0.0806850986102754
Median_earningsQuarterlyGrowth,-0.09343303789277707,-0.023795155683790516,-0.07108108945017189,-0.03361206766263735,-0.09798681342097444,-0.10231130770304017,-0.016276376374999763,-0.03007052934537315,-0.018950913489849786,0.9407211720406298,0.27112717678385506,-0.07049003163376277,-0.018092044533491686,-0.022770575717976495,-0.015271999018455164,-0.08234769416374405,-0.040397190001243366,-0.07713655013980716,0.012198751009252426,0.41292122124681346,0.18573079700498404,0.020672406017455583,-0.020428710329289626,0.041248852056183984,0.005418239995896929,0.05911783062164194,0.007463845026265207,-0.07341060491226752,-0.06263329390277751,0.1712318876217429,-0.09920957856306317,1.0,-0.017609050928880585,0.020482160203738154
Median_priceToBook,-0.041227267273459045,-0.1114094027189621,-0.04823966396951456,-0.13492763837738259,-0.0019174147810947259,0.1203724013777493,-0.10212166714994292,-0.1751905800950377,-0.16166937563589326,0.016267221389404375,0.026356810426523783,-0.09540786653361823,-0.03505566220381694,0.6300872985689372,0.3565505263188329,0.12440622024572993,0.0423280783700919,0.08354317035473417,0.026591115200868057,0.20646431699982715,0.07294703301030114,0.05803589467279652,-0.005818278170640302,-0.13377801419244711,-0.05662796847760177,-0.10096147911996707,-0.3422484506934271,-0.0361411862742409,-0.03729616796548594,-0.347240967149431,-0.4181112513762709,-0.017609050928880585,1.0,0.1232324219744233
Median_priceToSalesTrailing12Months,0.12965225221167,-0.0636457887892668,0.0013174580031488044,-0.06021369595794201,-0.136645383366484,0.25468272418667615,-0.3064067186029913,-0.19469462939553983,0.06594581778772797,0.015656482509747827,0.08855429014756332,-0.22108558383064508,-0.15464800532792036,-0.18059059323865115,0.7338071318060181,0.083015909451004,0.316376013553713,-0.382777046325288,0.8960571633377029,-0.2703568313473012,-0.3429971012544714,0.05477459308580164,-0.16037348694744596,-0.10260774928594653,0.5495590439063553,0.5791059361547486,-0.08979269831653505,-0.07546180783176966,-0.0578648618524638,-0.030665409507012756,-0.0806850986102754,0.020482160203738154,0.1232324219744233,1.0
