,industry,daily_agg_record_time,company_count,ebitdaUSD,marketCapUSD,totalRevenueUSD,fullTimeEmployees,grossMargins,operatingMargins,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,forwardEps,trailingEps,forwardPE,trailingPE,pegRatio,trailingPegRatio,enterpriseToEbitda,enterpriseToRevenue,returnOnEquity,returnOnAssets,heldPercentInstitutions,heldPercentInsiders,debtToEquity,quickRatio,currentRatio,dividendYield,dividendRate,trailingAnnualDividendRate,fiveYearAvgDividendYield,trailingAnnualDividendYield,earningsQuarterlyGrowth,priceToBook,priceToSalesTrailing12Months
54,Gambling,2022-09-13 16:01:00.285623+00:00,20,5199588865.034,99645566919.741,34073983584.696,99633.0,0.639,0.126,0.195,0.099,0.386,0.137,1.12,0.58,8.161,21.779,0.59,,10.264,2.647,0.163,0.041,0.491,0.111,66.844,1.047,1.593,0.035,0.8,0.6,1.6,0.015,0.399,5.085,1.945
55,Gold,2022-09-13 16:00:52.999453+00:00,50,95305195842.59,264308638548.256,311298782389.701,239746.0,0.444,0.208,0.391,0.127,-0.11,-0.028,0.46,0.175,10.7,16.76,0.395,0.787,4.593,2.37,0.028,0.026,0.465,0.024,20.93,1.619,2.745,0.025,0.28,0.275,1.435,0.022,0.005,1.296,2.073
56,Grocery Stores,2022-09-13 16:00:56.261588+00:00,35,62286034872.323,356684319822.356,954925711404.34,3859373.0,0.25,0.043,0.066,0.024,0.105,0.109,3.675,1.865,17.268,16.851,3.16,1.242,9.497,0.789,0.199,0.053,0.318,0.202,133.571,0.442,0.895,0.019,1.01,0.84,2.295,0.016,0.086,3.488,0.493
57,Health Information Services,2022-09-13 16:00:57.113007+00:00,49,2902265662.289,141205139530.936,33583350473.264,132846.0,0.53,-0.042,0.032,-0.071,-0.244,0.157,0.1,-0.345,9.445,50.531,1.235,2.024,8.966,2.985,-0.06,-0.011,0.775,0.068,34.902,2.395,2.716,0.019,0.9,0.8,0.78,0.021,-0.264,2.337,2.913
58,Healthcare Plans,2022-09-13 16:01:01.763436+00:00,13,75979067201.075,956593358301.886,1204723140789.328,925925.0,0.171,0.041,0.045,0.026,0.192,0.158,6.31,3.2,11.453,19.546,1.14,1.287,10.124,0.621,0.109,0.035,0.904,0.016,63.346,1.01,1.164,0.013,3.815,3.607,1.245,0.013,0.149,2.628,0.673
59,Home Improvement Retail,2022-09-13 16:00:56.732706+00:00,13,46969620665.005,578950661724.013,305882179892.397,1048724.0,0.374,0.094,0.123,0.071,0.079,0.039,3.38,2.1,13.289,15.146,1.29,1.291,10.691,1.465,0.231,0.071,0.792,0.039,87.309,0.344,1.264,0.034,1.12,1.34,2.92,0.035,0.044,3.165,1.256
60,Household & Personal Products,2022-09-13 16:00:56.557821+00:00,44,77593971745.02,1232000920412.933,411395457568.246,873190.0,0.5,0.129,0.164,0.085,-0.05,0.076,5.32,4.98,23.731,29.456,3.21,2.977,16.284,2.705,0.122,0.064,0.391,0.186,30.831,0.767,1.599,0.024,4.72,2.33,1.6,0.019,-0.069,5.223,2.729
61,Industrial Distribution,2022-09-13 16:00:59.285445+00:00,21,15545679002.831,164715217429.423,130098503266.919,189690.0,0.292,0.101,0.118,0.076,0.329,0.204,4.3,2.65,17.996,22.553,1.035,1.672,11.301,1.501,0.246,0.092,0.793,0.02,72.999,1.072,2.319,0.022,1.56,1.52,1.79,0.023,0.335,4.049,1.279
62,Information Technology Services,2022-09-13 16:00:55.934006+00:00,96,260905668942.323,1187926487972.42,1467840864193.4,5559199.0,0.322,0.104,0.151,0.073,0.086,0.145,5.07,2.72,14.521,23.728,1.355,1.111,11.675,1.914,0.152,0.056,0.495,0.118,29.556,1.333,1.605,0.017,2.5,1.694,1.36,0.015,0.092,3.105,1.733
63,Infrastructure Operations,2022-09-13 16:00:54.058587+00:00,8,7262734227.318,79933699557.803,33655217522.849,103790.0,0.557,0.119,0.4,0.069,3.114,0.192,0.56,0.285,28.078,32.041,3.465,,12.011,3.782,0.069,0.014,0.558,0.063,128.275,1.524,2.171,0.031,0.485,0.575,3.25,0.031,1.418,2.183,2.622
64,Insurance Brokers,2022-09-13 16:00:54.465402+00:00,13,15523393103.214,239531865987.93,61049417579.807,255492.0,0.44,0.127,0.163,0.108,0.032,0.068,2.58,2.16,20.04,27.833,2.32,1.613,16.513,4.567,0.139,0.042,0.757,0.132,76.305,1.077,1.356,0.015,2.24,2.09,1.61,0.014,0.028,4.055,4.082
65,Insurance—Diversified,2022-09-13 16:01:00.583094+00:00,39,116678309846.581,1356293140657.814,1044386031357.046,1116190.0,0.262,0.08,0.09,0.081,-0.048,-0.005,4.49,3.2,8.581,10.554,1.21,1.597,5.327,0.443,0.113,0.01,0.454,0.076,42.004,0.973,1.515,0.048,1.265,1.43,4.41,0.047,-0.045,1.038,0.71
66,Insurance—Life,2022-09-13 16:00:58.347141+00:00,45,146407158231.699,1179484069062.067,1799137703772.8,1140887.0,0.239,0.094,0.098,0.062,-0.163,-0.155,5.67,5.14,7.693,9.072,0.37,1.869,3.217,0.41,0.102,0.005,0.369,0.131,40.814,1.055,1.704,0.042,1.5,1.25,3.24,0.037,-0.173,0.993,0.581
